id,income
,9.9
,12.8
,13.2
,13.5
,6.6
,14.9
,11.6
,15.5
,12.8
,9.6
,8
,14.4
,4
,11.3
,10.6
,23.1
,6.9
,25.5
,23.3
,23.2
,7.1
,10.3
,21.5
,14.1
,11.8
,15.8
,17.9
,12.5
,23
,13.8
,2.2
,10.2
,18.2
,26.3
,2.6
,5.9
,6.2
,8.4
,5.8
,12.7
,30.2
,9.3
,14
,11.1
,12
,20.4
,21
,13.6
,9.9
,15.6
,7
,12.6
,26.2
,6.4
,15.7
,6.7
,17.2
,12.2
,6.9
,8
,10.2
,13.4
,17.1
,6.2
,17.3
,10.4
,17.3
,11.3
,12.8
,7.9
,-
,9.5
,6.2
,7.8
,18.9
,10.1
,9.3
,9.1
,12.2
,8.5
,4.5
,5
,6.2
,4.3
,6.1
,3.9
,8.4
,33.5
,4.3
,18.8
,6.9
,9.4
,28
,13.9
,16.3
,12.7
,5.8
,15.2
,25.2
,7
,22.6
,18.8
,26.5
,14.6
,7
,7
,5.2
,3.7
,17.9
,-
,3.5
,9.2
,4.9
,16.2
,8.9
,10.8
,14.8
,26.7
,10.1
,3.3
,8.3
,11.7
,11.1
,-
,31.1
,6.2
,10.7
,20.8
,16.7
,7.6
,14.7
,16.3
,16.1
,7.3
,8.7
,11.4
,14.2
,7.3
,5.4
,6.7
,13.4
,6
,6.1
,11.9
,18.6
,15.2
,7.9
,8.1
,8.6
,32.2
,7.6
,16.7
,16.4
,9.1
,8.8
,9.6
,6.3
,7.8
,8.9
,7.9
,8.3
,5.8
,8.2
,11
,7.7
,5.7
,4.1
,4.3
,0
,9.1
,3.1
,11.1
,3.6
,7.2
,34.8
,7
,5.9
,6.3
,11
,15.4
,9.5
,8.4
,10.6
,24.1
,9.3
,6.9
,8.7
,9.2
,14.5
,10.6
,2.3
,5.6
,10
,2.3
,11.1
,6.6
,4.7
,5.5
,8.5
,13
,5.4
,5.4
,5.9
,5.2
,19.6
,6.2
,32.7
,8.1
,11
,34.2
,6.4
,4.4
,17.2
,1.6
,8.1
,5.3
,7.1
,5.6
,-
,27.8
,11.4
,7.3
,12.5
,11.7
,14.6
,16.4
,11.3
,21.8
,9.9
,-
,28.1
,12
,13.1
,10.8
,31.1
,13.9
,18.3
,13.4
,18
,11.2
,12.8
,24.5
,29.1
,15
,12.3
,10
,19.1
,20.6
,17.4
,15.8
,10.9
,8.7
,17.9
,13.8
,15.2
,15.3
,14.9
,19.4
,11.4
,15.6
,14.5
,25.8
,16.6
,8.2
,13.1
,13.8
,9.4
,29.5
,21
,13
,8.8
,10.4
,9.8
,11.6
,8.8
,11.8
,9
,6.4
,16.3
,3.2
,5.1
,8.9
,5.7
,6.1
,6.5
,15.1
,3.3
,2.1
,4.9
,8.2
,11.4
,5.7
,5.1
,9.4
,8.6
,1.9
,19.6
,2.4
,9.4
,4.2
,12
,26.1
,12.5
,5.6
,11.7
,8.1
,24.9
,4.7
,17.2
,18.9
,35.2
,25.9
,14.6
,20.6
,36.8
,16.1
,18.3
,12.8
,25.8
,22.6
,17
,13.5
,23.2
,10.3
,11.8
,19.7
,27.5
,22
,16.9
,18.7
,23.5
,27
,14.8
,8.3
,11.4
,15.5
,19.7
,18.8
,11.5
,14.1
,14.9
,6.2
,2.9
,2.5
,15
,15.5
,7.1
,5.5
,10.2
,10.4
,9.1
,3.3
,16.3
,8.1
,6.9
,7.4
,6.3
,7.3
,6.8
,5.9
,8
,5.3
,5.3
,4.9
,5.2
,5
,6
,22.8
,11.6
,10.5
,9.8
,16.2
,10.8
,10.1
,10.5
,9.7
,12.4
,14.9
,13.6
,9.6
,7.5
,21.8
,12.9
,11.1
,15.4
,24.7
,16.8
,7.6
,20.6
,18.8
,5.8
,21.8
,9.5
,9
,-
,12.6
,9.5
,15.7
,8.8
,15
,11.7
,9
,14.9
,13.5
,19.9
,21.2
,19.1
,23.7
,7
,16.5
,6.9
,17.1
,17.9
,8.5
,15.8
,7.8
,9.5
,10.3
,5.6
,8.8
,25.9
,15.3
,15.3
,15.6
,16.3
,12.5
,17.7
,33.3
,14.2
,24.8
,27.4
,9.8
,17.2
,6.4
,13.4
,13.9
,30.6
,7.1
,7.7
,8.6
,6.1
,7.3
,25.6
,9.3
,1.1
,20.2
,3.8
,8.1
,6
,14.8
,9.1
,12.2
,12
,28.9
,2.5
,7.6
,16.2
,17.8
,12.4
,10.6
,7.6
,18.1
,24.2
,10.5
,15.8
,15.3
,8.7
,7.5
,11.4
,6.3
,15.6
,12.1
,9.6
,7.2
,8.1
,10.3
,10.9
,10.6
,44.8
,17.2
,9.7
,20.6
,12.2
,6
,8.6
,11.7
,18.6
,7.7
,18.6
,7
,9
,9.4
,9.2
,16.6
,11
,13.3
,6.9
,8.7
,9.1
,10.1
,22.4
,13.4
,15.8
,10.1
,3.4
,22.8
,16.1
,7.9
,9.5
,15.5
,11.1
,9.4
,8.8
,15.1
,15.7
,15.8
,11
,11.7
,11.4
,3
,6.3
,12.2
,16.1
,7.6
,8.6
,6.7
,21.2
,9.3
,18.5
,8.4
,13.1
,11.4
,24.9
,-
,19.1
,15.2
,11.8
,15.6
,21.5
,6.2
,7.5
,7.4
,16.6
,12.8
,11.9
,19.2
,2.6
,11.9
,15.3
,6.2
,5.1
,3.2
,4.6
,7.9
,2.3
,6.8
,14
,7.7
,15.3
,2.5
,11.1
,2
,4.2
,11
,11.8
,2.8
,3.4
,3.6
,10
,2.3
,2.3
,12.2
,16.7
,2.2
,19
,6.4
,4
,11
,9.2
,12.4
,11.5
,12.4
,6
,8.8
,6
,12.9
,15.4
,8.5
,20.7
,15.5
,11
,8.3
,19.4
,9.4
,9.6
,19
,17
,15
,15.7
